공고번호,회사명,공고제목,기술스택/분야,마감일
49202276,SFA반도체㈜,2026년도 부문별 신입/경력 채용,"반도체, 반도체생산, 경영기획, 사업기획, 재무기획, 데이터분석, 브랜드기획, 신사업기획, 연구기획, 전략기획, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, 문서관리, 비품관리, 자산관리, 노사관리, 인사기획, 인사교육, 인사행정, 교육기획, 급여관리, 면접·채용, 평가·보상, 복리후생, 조직문화, 노사관리, 관리회계, 더존, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, CFO, ERP운용, 계산서발행, 기업회계, 부가세신고, 세무신고, 세무조정, 연말정산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 결산, 재무기획, IPO, 통계·분석, 재무분석, 관리회계, 원가회계, 재무회계, 기업회계, 부가세신고, 세무신고, 세무조정, 연말정산, 기업홍보, 이벤트기획, 설문조사, 시장분석, 시장조사, 네트워크관리, 방화벽, 정보보안, 회로설계, 2D설계, 디스플레이, 생산기술, 정보통신, 제품개발, 터치스크린, 회로설계, LCD, PCB, 제어·설계, LED·OLED, 신소재, 자동화라인, 자동제어, 공정개발, 자동화라인, 품질테스트, 정보통신·IT, R&D, 제조·공정, 생산관리, 품질보증, 검증, 품질보증, 환경관리, 안전평가, 위험성평가",1일 전 등록
49181543,세방그룹,2026년 2분기 신입ㆍ채용연계형 인턴ㆍ경력사원 정기 채용,"경영기획, 문서작성, 통계·분석, 자료조사, 4대보험, 급여관리, 노사관리, 인사기획, 인사교육, 인사행정, 경력관리, 노사관리, 복리후생, 인사교육, 결산, 외환관리, 입출금관리, 재무기획, 재무회계, 자금관리, 재무분석, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 납품, 물류센터, 재고관리, 창고관리, 외자구매, 자재구매, 구매계약, 상품입출고, 외자구매, 자재구매, 재고관리, 기타외국어, 바이어개발, 수출입계약, 영어, 일본어, 중국어, 해외마케팅, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 대리점관리, 매출관리, 영업기획, 데이터분석, 영업전략, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 메카트로닉스, 생산기술, 제품개발, 제어·설계, 기계조작, 전기설계, 회로설계, 유지보수, 정보통신, 통신설비, 자동제어, 공정개발, 자동화라인, 품질테스트, 임베디드, 펌웨어, 회로설계, PCB, 검증, 품질보증, 환경관리",4일 전 등록
49173000,GS건설㈜,GS건설 2026년 정규직 경력사원 채용,"건설, 경영기획, 사업기획, 재무기획, 데이터분석, 브랜드기획, 신사업기획, 전략기획, 시장분석, 시장조사, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, PM, 4대보험, 결산, 관리회계, 더존, 법인결산, 부가세신고, 원가회계, 재무회계, 전산회계, 전표입력, 회계감사, CFO, ERP운용, 계산서발행, 기업회계, 라이센싱, 브랜딩, 시장분석, 언론홍보, 기업홍보, 이벤트기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, 네트워크관리, 방화벽, 보안관제, 정보보안, 부동산영업, 금속, 메카트로닉스, 제품개발, 플랜트, 제어·설계, 건축설계, 전기설계, 토목설계, 생명공학, 에너지, 제품개발, 생산관리, 품질보증, 검증, 품질보증, 환경관리, ISO, 건축감리, 건축설계, 건축CM, 리모델링, 캐드원, 건축설계, 건축시공, 리모델링, 시공관리, 건축시공, 공조냉동, 리노베이션, 리모델링, 미장, 배관·케이블, 가설설계, 건축시공, 시공관리, 건설노무, 안전평가, 건설안전, 산업안전, 대기환경, 플랜트, 토양환경, 환경측정, 산업안전",6일 전 등록
49173244,㈜비바리퍼블리카,[토스페이먼츠] Data Engineer 하반기 합류 전형,N/A,6일 전 등록
48921028,NC,엔씨소프트 전 부문 수시 채용,"문서작성, 전산입력, 전산입력, 컴플라이언스, 저작권, 증강현실, 펌웨어, 복리후생, 전략기획, 행정, UI·UX기획, 모션그래픽, 시장조사, 영상제작, 자료조사, 특허담당, SI개발, 방화벽, 비품관리, 송무담당, 문서관리, 문서작성, 신사업기획, 서버구축, 시스템운영, 자산관리, 데이터분석, 서버관리, 오프라인마케팅, 제휴마케팅, SI개발, 사업기획, 시스템분석, 모바일디자인, 클라이언트, 문서작성, 문서작성, 통계·분석, 메타버스, 모델링, 보안관제, 시스템설계, 전략기획, 콘텐츠기획, MMORPG, 기업홍보, 브랜드기획, 디지털디자인, 정보보안, GUI, 데이터분석, 가상현실, 사내변호사, 서무, 서버관리, SNS마케팅, 공증, 문서관리, 핀테크, 경영기획, 암호화폐, 클라이언트, 콘텐츠기획, 핀테크, 경영기획, 네트워크관리, 문서관리, 소송·민사·등기, 지적재산권, 디지털마케팅, 서무, HTTP, SEO, 네트워크관리, 시장분석, 행정",04/06(월) 등록
49208090,㈜한국미스미,㈜한국미스미 ME사업부 EC개발자 채용 (정규직),"모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, BI, 데이터분석, 데이터시각화, 분석모델링, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇",12시간 전 등록
49206074,동아피엠,스마트오피스시스템 설치및 유지보수 기술지원팀 모집,"네트워크관리, 네트워크관리, 임베디드, 유지보수, 임베디드, 정보통신, 유지보수",1일 전 등록
49185028,비테스코테크놀로지스코리아(유),셰플러코리아 이천사업장 (구. 비테스코테크놀로지스코리아) 5월 신입 및 경력직 채용,"전기, 경영기획, 사업기획, 데이터분석, 신사업기획, 연구기획, 전략기획, PM, PL, PO, 경영기획, 경영컨설팅, 경영기획, 문서작성, 통계·분석, 자료조사, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 모델링, 데이터마이닝, OLAP개발자, 데이터관리, DBMS, DB튜닝, DW모델러, 빅데이터, 데이터레이크, ETL, 데이터파이프라인, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 펌웨어, 회로설계, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 거래처관리, 거래선개발관리, 거래처관리, 고객관리, 메카트로닉스, 임베디드, 자동제어, 펌웨어, 회로설계, PCB, PLC, 메카트로닉스, 생산기술, 자동차, 제품개발, 제어·설계, 기계조작, 경영·경제연구, 검증, 품질보증, 환경관리, ISO",5일 전 등록
49168167,㈜한빛산업,"유압,유압시스템 설계","기계설계, 생산기술, 시스템설계, 유압기기, AutoCad, 유압, Creo, 유압시스템 설계, ㈜한빛산업, 기계설계, 유압기기, 시스템분석, 시스템설계, 메카트로닉스, 생산기술, 제품개발, 제어·설계, 3D설계, 기구설계, 2D설계, 로봇설계, 조선·항공·우주",05/13(수) 등록
49191089,이노아이㈜,SW QA 테스트엔지니어 경력직 채용,"테스터, 검증",2일 전 등록
