title,originallink,link,description,pubDate
‘돌부처’ 오승환의 속내…“아들은 마무리 투수 안 했으면”,https://www.sportsseoul.com/news/read/1607585?ref=naver,https://m.entertain.naver.com/article/468/0001238793,com 전 <b>야구</b>선수 오승환이 아들 서준이에 대한 진솔한 바람을 전했다. 6일 방송된 ‘슈퍼맨이 돌아왔다’에서는 오승환이 생후 35개월 아들 서준이와 함께 출연해 일상을 공개했다. 이날 부자는 처음으로 <b>야구</b>장을... ,"Wed, 06 May 2026 21:39:00 +0900"
"마침내 패패패 끊었다!…‘정준재 끝내기 안타’ SSG, NC 꺾고 3연패 탈...",https://www.mk.co.kr/article/12038103,https://m.sports.naver.com/kbaseball/article/410/0001123522,이숭용 감독이 이끄는 SSG랜더스는 6일 인천 SSG랜더스필드에서 열린 2026 프로<b>야구</b> KBO리그 정규시즌 홈 경기에서 이호준 감독의 NC 다이노스에 7-6 짜릿한 끝내기 승리를 거뒀다. 이로써 3연패에서 벗어난 SSG는 18승 1무... ,"Wed, 06 May 2026 21:39:00 +0900"
또 정준재야? 이틀 연속 클러치 대폭발!...SSG 7-6 끝내기로 3연패 탈출...,http://www.osen.co.kr/article/G1112796082,https://m.sports.naver.com/kbaseball/article/109/0005528729,"프로<b>야구</b> SSG 랜더스가 2사 후 극적인 끝내기로 3연패를 끊어냈다. SSG는 6일 인천SSG랜더스필드에서 열리는 ‘2026 신한 SOL KBO리그’ 정규시즌 NC 다이노스와의 경기에서 7-6, 끝내기 역전극을 완성했다. SSG는 3연패에서... ","Wed, 06 May 2026 21:39:00 +0900"
"‘죄송합니다 또 죄송합니다’ 고승민 결승타+나승엽 쐐기포 쾅! 롯데,...",http://www.osen.co.kr/article/G1112796004,https://m.sports.naver.com/kbaseball/article/109/0005528725,프로<b>야구</b> 롯데 자이언츠는 6일 수원KT위즈파크에서 열린 2026 신한 SOL KBO리그 KT 위즈와의 시즌 4차전에서 8-1 완승을 거뒀다. 롯데는 전날 패배를 설욕하며 시즌 13승 1무 18패를 기록했다. 반면 3연승 도전이 좌절된 KT는... ,"Wed, 06 May 2026 21:38:00 +0900"
"'정준재 끝내기' SSG, 접전 끝에 NC에 진땀승…3연패 탈출",https://www.newsis.com/view/NISX20260506_0003619225,https://m.sports.naver.com/kbaseball/article/003/0013929418,프로<b>야구</b> SSG 랜더스가 NC 다이노스에 진땀승을 거두며 지긋지긋한 연패의 사슬을 끊었다. SSG는 6일 인천 SSG랜더스필드에서 벌어진 2026 신한 쏠 KBO리그 NC와의 경기에서 9회말 터진 정준재의 끝내기 안타에 힘입어 7... ,"Wed, 06 May 2026 21:38:00 +0900"
"[사진]박해민-홍창기-이재원, '김윤식이 돌아왔다'",http://www.osen.co.kr/article/G1112796078,https://m.sports.naver.com/kbaseball/article/109/0005528724,프로<b>야구</b> LG 트윈스가 두산 베어스를 꺾고 2연승을 거뒀다. LG는 6일 서울 잠실구장에서 열린 2026 KBO리그 두산과 경기에서 6-1로 승리했다. 이날 1군에 콜업된 이재원이 선제 투런 홈런을 터뜨리며 4타수 2안타... ,"Wed, 06 May 2026 21:38:00 +0900"
[사진]손성빈 끌어안고 기뻐하는 구승민,http://www.osen.co.kr/article/G1112796080,https://m.sports.naver.com/kbaseball/article/109/0005528726,프로<b>야구</b> 롯데 자이언츠는 6일 수원KT위즈파크에서 열린 2026 신한 SOL KBO리그 KT 위즈와의 시즌 4차전에서 8-1 완승을 거뒀다. 롯데 구숭민이 손성빈과 승리를 기뻐하고 있다. 2026.05.06,"Wed, 06 May 2026 21:38:00 +0900"
[사진]손성빈과 승리 기뻐하는 구승민,http://www.osen.co.kr/article/G1112796081,https://m.sports.naver.com/kbaseball/article/109/0005528727,프로<b>야구</b> 롯데 자이언츠는 6일 수원KT위즈파크에서 열린 2026 신한 SOL KBO리그 KT 위즈와의 시즌 4차전에서 8-1 완승을 거뒀다. 롯데 구숭민이 손성빈과 승리를 기뻐하고 있다. 2026.05.06,"Wed, 06 May 2026 21:38:00 +0900"
"[사진]LG, 2연승 하이파이브",http://www.osen.co.kr/article/G1112796079,https://m.sports.naver.com/kbaseball/article/109/0005528723,프로<b>야구</b> LG 트윈스가 두산 베어스를 꺾고 2연승을 거뒀다. LG는 6일 서울 잠실구장에서 열린 2026 KBO리그 두산과 경기에서 6-1로 승리했다. 이날 1군에 콜업된 이재원이 선제 투런 홈런을 터뜨리며 4타수 2안타... ,"Wed, 06 May 2026 21:38:00 +0900"
"[사진]김윤식, 승리 감사 인사",http://www.osen.co.kr/article/G1112796077,https://m.sports.naver.com/kbaseball/article/109/0005528722,프로<b>야구</b> LG 트윈스가 두산 베어스를 꺾고 2연승을 거뒀다. LG는 6일 서울 잠실구장에서 열린 2026 KBO리그 두산과 경기에서 6-1로 승리했다. 이날 1군에 콜업된 이재원이 선제 투런 홈런을 터뜨리며 4타수 2안타... ,"Wed, 06 May 2026 21:37:00 +0900"
"[사진]LG, 2연승",http://www.osen.co.kr/article/G1112796076,https://m.sports.naver.com/kbaseball/article/109/0005528721,프로<b>야구</b> LG 트윈스가 두산 베어스를 꺾고 2연승을 거뒀다. LG는 6일 서울 잠실구장에서 열린 2026 KBO리그 두산과 경기에서 6-1로 승리했다. 이날 1군에 콜업된 이재원이 선제 투런 홈런을 터뜨리며 4타수 2안타... ,"Wed, 06 May 2026 21:37:00 +0900"
"'<b>야구</b>로 보답했다!' 나승엽-고승민, KT 격침 견인…롯데 8-1 승→7위 두산...",https://www.xportsnews.com/article/2145612,https://m.sports.naver.com/kbaseball/article/311/0002007798,김태형 감독이 이끄는 롯데 자이언츠가 돌아온 나승엽의 맹타와 외국인 투수 제레미 비슬리의 호투를 앞세워 승전고를 울렸다. 롯데는 6일 수원 KT위즈파크에서 열린 2026 신한 SOL KBO리그 KT 위즈와의 팀 간 4차전에서 8... ,"Wed, 06 May 2026 21:36:00 +0900"
[사진]소총부대 롯데의 8-1 완승,http://www.osen.co.kr/article/G1112796071,https://m.sports.naver.com/kbaseball/article/109/0005528716,프로<b>야구</b> 롯데 자이언츠는 6일 수원KT위즈파크에서 열린 2026 신한 SOL KBO리그 KT 위즈와의 시즌 4차전에서 8-1 완승을 거뒀다. 롯데가 승리를 기뻐하고 있다. 2026.05.06,"Wed, 06 May 2026 21:35:00 +0900"
"프로<b>야구</b> 롯데-kt전, kt위즈파크 인근 화재로 한때 중단",https://imnews.imbc.com/news/2026/society/article/6820479_36918.html,https://n.news.naver.com/mnews/article/214/0001497256?sid=102,오늘 오후 경기 수원 kt위즈파크에서 열린 프로<b>야구</b> 롯데 자이언츠와 kt위즈의 경기가 외부 화재로 한때 중단됐습니다. 소방당국에 따르면 오늘 저녁 8시 20분쯤 <b>야구</b>장 근처에 있던 쓰레기장에서 불이 나 30분 만에... ,"Wed, 06 May 2026 21:34:00 +0900"
