공고번호,지역,회사명,공고제목,기술스택/분야,마감일
53842726,서울,아이티엔리뉴(주),[시스템 구축 및 운영] 리눅스 서버 운영/인프라 엔지니어,"기술지원, 정보보안, Linux, SI·시스템통합, 시스템관리 수정일 26/05/19",~ 05/26(화)
53737123,서울,(주)헬로에이치알,국내 1위 트래블 핀테크 기업 Back-end engineer 모집,"Java, Jenkins, Kotlin, MariaDB, Redis 외                    수정일 26/05/19",채용시
53319936,서울,(주)제이엠더블유,2026년 JMW 상반기 상품기획팀 채용,"시장조사, 마케팅기획, 마케팅전략, 행사기획, SNS마케팅 외                    수정일 26/05/06",오늘마감
53428160,서울,(주)패스트뷰,AI 엔지니어 (글로벌 번역 파이프라인 & 콘텐츠 고도화),"AI엔지니어, 언론사, 인터넷신문 수정일 26/05/18",채용시
53653565,서울,(주)제이엠더블유,JMW에서 영업전략 기획 및 데이터 전략 리더를 모십니다,"Python, SQL, 기획MD, 프로모션기획, SNS 외                    수정일 26/05/06",오늘마감
53807845,서울,(주)패스트뷰,프로젝트 매니저(PM) 주니어급,"PM(프로젝트매니저), 개발PM, 언론사, 인터넷신문 수정일 26/05/07",채용시
53921716,서울,(주)블랭크코퍼레이션,2026 블랭크코퍼레이션&자회사 인턴/경력 채용공고,"QA/테스터, 법인세신고, 부가세신고, 세무신고, 수/발주 외                    수정일 26/05/18",~ 05/31(일)
53927869,서울,(주)풀무원푸드앤컬처,모바일서비스운영팀 데이터 전략 및 서비스 운영 담당자 (계약직/육아휴직 대체),"앱개발, 콘텐츠관리, 프로모션기획, 콘텐츠기획, 콘텐츠마케팅 외                    수정일 26/05/19",~ 05/26(화)
53922572,서울,(주)온택트헬스,AI Research 엔지니어 채용,"백엔드/서버개발, 앱개발, 딥러닝, 머신러닝, 모델링 외                    수정일 26/05/18",~ 07/17(금)
53919281,서울,(주)씨엘클라우드,솔루션사업부 가상화 엔지니어 모집합니다(신입/경력),"유지보수, S/W, SI·시스템통합, 시스템관리, 솔루션업체 외                    등록일 26/05/18",~ 07/17(금)
53935141,서울,(주)에이치알원컨설팅,그로스 마케터 경험자-디지털 자산 플랫폼 선두기업,"SQL, 프로모션기획, 마케팅기획, 마케팅전략, 체험마케팅 외                    등록일 26/05/19",채용시
53935140,서울,삼일회계법인,[삼일회계법인] AI Engineer 채용,"AI(인공지능), 회계법인 수정일 26/05/19",채용시
52783795,서울,(주)코난테크놀로지,2026년 각부문 신입 및 경력 채용,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수 외                    수정일 26/04/10",~ 07/10(금)
53935063,서울,(주)에스앤엘컴,(주)에스앤엘컴 Apple 기술지원 및 기술영업 채용 공고,"기술지원, SE(시스템엔지니어), 기술영업, 솔루션기술영업, 시스템영업 외                    등록일 26/05/19",~ 07/18(토)
53935044,서울,주식회사 비온에이치알,의료AI 솔루션 연구원 (병역특례 가능),"AI(인공지능), 기술연구, AI(인공지능), 헬스케어, 정유 외                    등록일 26/05/19",~ 06/03(수)
53854098,서울,델타일렉트로닉스코리아(주),[외국계] 각 부문 신입/경력 채용,"기술지원, FAE, 솔루션, 인프라, 트러블슈팅 외                    수정일 26/05/12",~ 05/31(일)
